delay_id,trip_id,predicted_delay,actual_delay
delay_0,bus_trip_0003949612023091120240611,72.12715663977426,15.688969732148905
delay_1,bus_trip_0003949642023091120240611,24.386629090764544,66.33743143589868
delay_2,bus_trip_0003949652023091120240611,6.6057209174720555,48.960764637849095
delay_3,bus_trip_0003949662023091120240611,25.74667543578517,98.41412558944297
delay_4,bus_trip_0003949672023091120240611,96.75406868925737,43.99445777893915
delay_5,bus_trip_0003949682023091120240611,60.41862898052049,74.40353876704924
delay_6,bus_trip_0003949692023091120240611,55.005891946618114,86.1760775891335
delay_7,bus_trip_0003949702023091120240611,22.992701316409914,35.44746608399083
delay_8,bus_trip_0003949712023091120240611,60.131930625402745,50.29394109219459
delay_9,bus_trip_0003949722023091120240611,26.461490288248378,64.75464724354792
delay_10,bus_trip_0003949732023091120240611,126.96648675662209,80.66924243815083
delay_11,bus_trip_0003949742023091120240611,58.86454328361803,10.49701262098057
delay_12,bus_trip_0003949752023091120240611,58.83217002837332,77.80631874402586
delay_13,bus_trip_0003949772023091120240611,29.21976475158212,73.96601599842887
delay_14,bus_trip_0003949802023091120240611,75.14781140043132,47.278748034340516
delay_15,bus_trip_0003949812023091120240611,64.23270042260567,48.006349956006
delay_16,bus_trip_0003949822023091120240611,95.5127288532342,3.2278057883642433
delay_17,bus_trip_0003949832023091120240611,68.4707595509332,59.025068207029925
delay_18,bus_trip_0003949842023091120240611,42.89921745300428,33.85710563916666
delay_19,bus_trip_0003949852023091120240611,50.02176836591304,81.03500378760548
delay_20,bus_trip_0003949862023091120240611,35.47810006398217,91.57753062773041
delay_21,bus_trip_0003949872023091120240611,37.9586041654528,61.598247643961955
delay_22,bus_trip_0003949882023091120240611,38.188051173754964,23.591607545892884
delay_23,bus_trip_0003949892023091120240611,87.61686885928427,12.60268808624317
delay_24,bus_trip_0003949902023091120240611,11.611437790992902,71.26498439562562
delay_25,bus_trip_0003949942023091120240611,100.69890478472192,65.35558076298949
delay_26,bus_trip_0003949952023091120240611,50.79081334802554,80.03964858876549
delay_27,bus_trip_0003949962023091120240611,-20.838445807674603,60.255679677663004
delay_28,bus_trip_0003949972023091120240611,95.1630925381208,34.03316109231132
delay_29,bus_trip_0003949982023091120240611,57.540883708108026,-17.3050687254526
delay_30,bus_trip_0003949992023091120240611,90.70969058426981,26.93999782055301
delay_31,bus_trip_0003950002023091120240611,86.5270971836089,23.083572856699007
delay_32,bus_trip_0003950012023091120240611,38.82201937410852,59.35258384269117
delay_33,bus_trip_0003950022023091120240611,113.76317718602405,44.644109962958616
delay_34,bus_trip_0003950032023091120240611,90.30553329677062,26.3446784714505
delay_35,bus_trip_0003950042023091120240611,43.813360744161265,52.7964520160089
delay_36,bus_trip_0003950072023091120240611,44.004895839485,95.82929874119232
delay_37,bus_trip_0003950092023091120240611,79.09446730909372,120.34347893168483
delay_38,bus_trip_0003950102023091120240611,23.03627038153406,64.81467438544902
delay_39,bus_trip_0003950112023091120240611,86.48803768538258,58.260490541227284
delay_40,bus_trip_0003950122023091120240611,71.9339783413218,89.6744790236569
delay_41,bus_trip_0003950132023091120240611,19.3358142141739,2.1076234451593976
delay_42,bus_trip_0003950142023091120240611,31.63069705496759,98.4009988964221
delay_43,bus_trip_0003950152023091120240611,13.165230197471004,59.65280912105642
delay_44,bus_trip_0003950162023091120240611,4.762139452491439,84.46903017253187
delay_45,bus_trip_0003950172023091120240611,59.94415634462288,69.73204291524613
delay_46,bus_trip_0003950182023091120240611,80.70862096009938,47.54312782283665
delay_47,bus_trip_0003950192023091120240611,69.79901337126817,76.26777211892109
delay_48,bus_trip_0003950202023091120240611,62.529998284251775,68.8795715338515
delay_49,bus_trip_0003950212023091120240611,84.73485676170107,58.05745986683484
delay_50,bus_trip_0003950222023091120240611,37.17304346153377,50.01475214731797
delay_51,bus_trip_0003950232023091120240611,71.67416458252107,37.047934319763996
delay_52,bus_trip_0003950242023091120240611,107.250229046377,51.718115081260954
delay_53,bus_trip_0003950252023091120240611,43.552036970299696,46.594606713235876
delay_54,bus_trip_0003950262023091120240611,78.65684552738753,55.289722978728115
delay_55,bus_trip_0003950272023091120240611,-12.82247486013388,108.75158998263308
delay_56,bus_trip_0003950282023091120240611,33.89148966391677,37.567154505746586
delay_57,bus_trip_0003950292023091120240611,49.31105810882665,68.40648207145706
delay_58,bus_trip_0003950302023091120240611,-30.386939282557535,58.206647614817605
delay_59,bus_trip_0003950322023091120240611,-6.7105220055254335,24.99508992916614
delay_60,bus_trip_0003950332023091120240611,13.525003459491153,80.96838270573794
